arm,position,stage,step,cumulative_step,tooluse,science
sft,0,tooluse,0,0,0.4124,0.2919
sft,0,tooluse,10,10,0.433,0.3432
sft,0,tooluse,20,20,0.5052,0.2604
sft,0,tooluse,30,30,0.5567,0.3057
sft,0,tooluse,40,40,0.5464,0.2663
sft,0,tooluse,50,50,0.5979,0.2643
sft,0,tooluse,60,60,0.6082,0.2722
sft,0,tooluse,70,70,0.6495,0.215
sft,0,tooluse,80,80,0.5979,0.2308
sft,0,tooluse,90,90,0.5979,0.1874
sft,0,tooluse,100,100,0.6495,0.2367
sft,0,tooluse,110,110,0.6598,0.2012
sft,0,tooluse,120,120,0.6907,0.2485
sft,0,tooluse,130,130,0.6701,0.2327
sft,0,tooluse,140,140,0.6804,0.2781
sft,0,tooluse,150,150,0.6701,0.2229
sft,0,tooluse,160,160,0.6804,0.2446
sft,0,tooluse,170,170,0.6907,0.2682
sft,0,tooluse,180,180,0.6598,0.284
sft,0,tooluse,190,190,0.6701,0.2821
sft,0,tooluse,200,200,0.6598,0.2781
sft,0,tooluse,210,210,0.6804,0.2623
sft,0,tooluse,220,220,0.6907,0.2604
sft,0,tooluse,230,230,0.6701,0.2702
sft,0,tooluse,240,240,0.6804,0.2623
sft,0,tooluse,250,250,0.6804,0.2505
sft,0,tooluse,252,252,0.6804,0.2663
sft,1,science,0,252,0.6804,0.2604
sft,1,science,10,262,0.701,0.2406
sft,1,science,20,272,0.6392,0.5542
sft,1,science,30,282,0.6392,0.5957
sft,1,science,40,292,0.5979,0.6312
sft,1,science,50,302,0.5464,0.641
sft,1,science,60,312,0.4845,0.645
sft,1,science,70,322,0.5464,0.6923
sft,1,science,80,332,0.4845,0.6588
sft,1,science,90,342,0.5464,0.6923
sft,1,science,100,352,0.4845,0.6963
